level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	12	1	3	2	131	161	49	11	96	Tuesday
5	1	12	1	3	3	184	160	47	12	96	Briefing
5	1	12	1	3	4	396	160	36	10	95	Listen
5	1	12	1	3	5	435	161	13	9	75	to
5	1	12	1	3	6	451	160	27	10	75	‘Still
5	1	12	1	3	7	482	160	68	12	85	Processing’
5	1	12	1	3	8	663	159	16	22	28	Be)
5	1	12	1	3	9	691	161	34	9	70	Inthe
5	1	12	1	3	10	728	161	88	11	50	Race/Related
5	1	12	1	3	11	820	161	64	9	58	Newsletter
5	1	12	1	3	12	921	168	100	9	0	yao
5	1	12	1	3	13	1028	169	3	8	23	4
5	1	12	1	3	14	1098	163	29	7	53	ars
4	1	12	1	4	0	102	173	1038	18	-1	
5	1	12	1	4	1	102	177	17	9	88	Let
5	1	12	1	4	2	123	179	13	7	88	us
5	1	12	1	4	3	140	177	23	11	96	help
5	1	12	1	4	4	166	179	20	9	96	you
5	1	12	1	4	5	190	177	27	9	96	start
5	1	12	1	4	6	220	179	25	9	96	your
5	1	12	1	4	7	249	177	19	11	95	day.
5	1	12	1	4	8	397	177	54	11	96	Revisiting
5	1	12	1	4	9	455	177	21	9	96	“Do
5	1	12	1	4	10	479	177	19	9	96	the
5	1	12	1	4	11	502	177	29	11	96	Right
5	1	12	1	4	12	535	177	38	11	80	Thing.”
5	1	12	1	4	13	628	173	26	18	49	all
5	1	12	1	4	14	691	177	21	9	86	The
5	1	12	1	4	15	715	177	47	9	89	downfall
5	1	12	1	4	16	766	177	11	9	92	of
5	1	12	1	4	17	780	177	35	9	86	Jussie
5	1	12	1	4	18	818	177	47	9	46	Smollett.
5	1	12	1	4	19	1063	178	40	11	83	London,
5	1	12	1	4	20	1107	178	33	9	96	United
4	1	12	1	5	0	921	192	187	12	-1	
5	1	12	1	5	1	921	192	37	11	47	Nasdaq
5	1	12	1	5	2	981	193	50	8	38	20.36%
5	1	12	1	5	3	1063	193	45	11	35	Kingdom
4	1	12	1	6	0	36	234	846	17	-1	
5	1	12	1	6	1	36	236	33	7	44	cua
5	1	12	1	6	2	810	234	61	17	93	Opinion
5	1	12	1	6	3	877	238	5	10	71	»
4	1	12	1	7	0	36	253	833	20	-1	
5	1	12	1	7	1	36	254	39	14	96	2019
5	1	12	1	7	2	80	253	14	15	74	Is
5	1	12	1	7	3	0	0	1219	9348	74	a
5	1	12	1	7	4	98	253	90	15	87	Sensitive
5	1	12	1	7	5	192	253	37	15	96	Year
5	1	12	1	7	6	234	253	24	15	96	for
5	1	12	1	7	7	811	261	58	12	0	Weaiés
5	1	12	1	7	8	950	262	16	11	8	es
4	1	12	1	8	0	36	276	947	23	-1	
5	1	12	1	8	1	36	276	55	18	96	China,
5	1	12	1	8	2	96	276	31	15	96	and
5	1	12	1	8	3	131	276	20	15	29	Xi
5	1	12	1	8	4	156	276	13	15	29	Is
5	1	12	1	8	5	174	276	70	15	95	Nervous
5	1	12	1	8	6	810	284	66	12	0	Geet
5	1	12	1	8	7	876	284	57	15	14	Hite
5	1	12	1	8	8	936	284	47	12	37	Eel
4	1	12	1	9	0	28	303	826	20	-1	
5	1	12	1	9	1	28	313	3	3	67	+
5	1	12	1	9	2	37	310	45	10	86	China’s
5	1	12	1	9	3	86	310	41	12	96	leader,
5	1	12	1	9	4	131	310	14	10	92	Xi
5	1	12	1	9	5	148	310	51	13	92	Jinping,
5	1	12	1	9	6	203	310	54	13	94	abruptly
5	1	12	1	9	7	810	303	44	12	96	Babies
4	1	12	1	10	0	37	328	941	13	-1	
5	1	12	1	10	1	37	332	61	7	96	summoned
5	1	12	1	10	2	99	329	64	10	92	hundreds
5	1	12	1	10	3	164	332	17	7	94	of
5	1	12	1	10	4	181	329	57	10	95	officials
5	1	12	1	10	5	242	329	23	10	95	and
5	1	12	1	10	6	810	328	25	10	90	Can
5	1	12	1	10	7	838	328	21	10	95	the
5	1	12	1	10	8	862	329	31	9	96	state
5	1	12	1	10	9	897	328	22	10	88	keep
5	1	12	1	10	10	919	331	19	10	96	up
5	1	12	1	10	11	939	328	39	13	83	with
4	1	12	1	11	0	36	347	930	14	-1	
5	1	12	1	11	1	36	348	25	10	92	told
5	1	12	1	11	2	64	348	33	10	96	them
5	1	12	1	11	3	100	348	21	10	96	that
5	1	12	1	11	4	121	348	28	10	96	the
5	1	12	1	11	5	153	348	73	10	96	Communist
5	1	12	1	11	6	229	348	36	13	96	Party
5	1	12	1	11	7	810	347	20	10	96	the
5	1	12	1	11	8	834	347	33	13	95	rapid
5	1	12	1	11	9	871	347	35	13	96	aging
5	1	12	1	11	10	910	347	12	10	96	of
5	1	12	1	11	11	925	347	29	10	94	such
5	1	12	1	11	12	958	350	8	7	93	a
4	1	12	1	12	0	36	366	885	14	-1	
5	1	12	1	12	1	36	367	34	10	95	faced
5	1	12	1	12	2	74	367	31	13	96	major
5	1	12	1	12	3	105	367	41	10	96	risks
5	1	12	1	12	4	149	370	8	7	96	on
5	1	12	1	12	5	157	367	27	10	96	all
5	1	12	1	12	6	187	367	41	10	96	fronts.
5	1	12	1	12	7	810	366	32	13	91	large
5	1	12	1	12	8	846	366	75	13	91	population?
2	1	13	0	0	0	36	392	250	70	-1	
3	1	13	1	0	0	36	392	250	70	-1	
4	1	13	1	1	0	37	392	241	13	-1	
5	1	13	1	1	1	37	392	21	10	94	His
5	1	13	1	1	2	62	392	53	13	95	warning
5	1	13	1	1	3	118	392	78	10	96	underscores
5	1	13	1	1	4	200	392	15	10	96	how
5	1	13	1	1	5	215	392	63	13	95	slowing
4	1	13	1	2	0	36	411	250	13	-1	
5	1	13	1	2	1	36	411	46	13	77	growth
5	1	13	1	2	2	85	411	24	10	96	and
5	1	13	1	2	3	113	411	45	10	53	China's
5	1	13	1	2	4	162	411	46	13	95	grinding
5	1	13	1	2	5	208	411	45	13	96	trade
5	1	13	1	2	6	256	411	30	13	96	fight
4	1	13	1	3	0	36	430	244	13	-1	
5	1	13	1	3	1	36	430	28	10	96	with
5	1	13	1	3	2	68	430	20	10	96	the
5	1	13	1	3	3	92	430	12	10	70	U.S.
5	1	13	1	3	4	120	430	30	10	96	have
5	1	13	1	3	5	154	430	64	13	96	magnified
5	1	13	1	3	6	221	430	20	10	96	the
5	1	13	1	3	7	245	431	35	12	96	party
4	1	13	1	4	0	36	449	214	13	-1	
5	1	13	1	4	1	36	449	76	13	66	leadership's
5	1	13	1	4	2	116	449	25	10	96	fears
5	1	13	1	4	3	141	449	22	10	96	of
5	1	13	1	4	4	167	449	36	10	96	social
5	1	13	1	4	5	206	450	44	9	91	unrest.
2	1	14	0	0	0	37	466	135	22	-1	
3	1	14	1	0	0	37	466	135	22	-1	
4	1	14	1	1	0	37	466	135	22	-1	
5	1	14	1	1	1	37	466	135	22	95	  
2	1	15	0	0	0	34	647	59	17	-1	
3	1	15	1	0	0	34	647	59	17	-1	
4	1	15	1	1	0	34	647	59	17	-1	
5	1	15	1	1	1	34	647	59	17	95	 
2	1	16	0	0	0	302	230	482	324	-1	
3	1	16	1	0	0	302	230	482	324	-1	
4	1	16	1	1	0	302	230	482	324	-1	
5	1	16	1	1	1	302	230	482	324	95	 
2	1	17	0	0	0	37	680	742	1	-1	
3	1	17	1	0	0	37	680	742	1	-1	
4	1	17	1	1	0	37	680	742	1	-1	
5	1	17	1	1	1	37	680	742	1	95	 
2	1	18	0	0	0	432	758	117	8	-1	
3	1	18	1	0	0	432	758	117	8	-1	
4	1	18	1	1	0	432	758	117	8	-1	
5	1	18	1	1	1	432	758	117	8	95	 
2	1	19	0	0	0	420	862	43	17	-1	
3	1	19	1	0	0	420	862	43	17	-1	
4	1	19	1	1	0	420	862	43	17	-1	
5	1	19	1	1	1	420	862	43	17	95	 
2	1	20	0	0	0	612	560	171	86	-1	
3	1	20	1	0	0	612	560	171	86	-1	
4	1	20	1	1	0	612	560	171	86	-1	
5	1	20	1	1	1	612	560	171	86	95	 
2	1	21	0	0	0	806	389	42	18	-1	
3	1	21	1	0	0	806	389	42	18	-1	
4	1	21	1	1	0	806	389	42	18	-1	
5	1	21	1	1	1	806	389	42	18	95	 
2	1	22	0	0	0	821	453	153	34	-1	
3	1	22	1	0	0	821	453	153	34	-1	
4	1	22	1	1	0	821	453	153	34	-1	
5	1	22	1	1	1	821	458	2	9	25	;
5	1	22	1	1	2	948	453	26	34	41	8
2	1	23	0	0	0	810	499	129	15	-1	
3	1	23	1	0	0	810	499	129	15	-1	
4	1	23	1	1	0	810	499	129	15	-1	
5	1	23	1	1	1	810	499	19	12	96	The
5	1	23	1	1	2	829	499	92	15	95	Republicans
5	1	23	1	1	3	925	499	14	12	96	of
2	1	24	0	0	0	1003	257	176	470	-1	
3	1	24	1	0	0	1003	257	176	470	-1	
4	1	24	1	1	0	1003	257	176	470	-1	
5	1	24	1	1	1	1003	257	176	470	95	 
2	1	25	0	0	0	28	518	1137	469	-1	
3	1	25	1	0	0	28	518	1137	469	-1	
4	1	25	1	1	0	810	518	44	12	-1	
5	1	25	1	1	1	810	518	44	12	86	Gilead
4	1	25	1	2	0	810	543	152	10	-1	
5	1	25	1	2	1	810	543	55	10	79	Alouche
5	1	25	1	2	2	869	543	93	10	94	administration
4	1	25	1	3	0	810	562	162	13	-1	
5	1	25	1	3	1	810	562	34	10	96	takes
5	1	25	1	3	2	848	562	24	10	96	aim
5	1	25	1	3	3	875	563	12	9	96	at
5	1	25	1	3	4	891	562	81	13	96	reproductive
4	1	25	1	4	0	36	579	815	15	-1	
5	1	25	1	4	1	36	579	45	15	89	‘Trump
5	1	25	1	4	2	84	579	30	12	96	Sees
5	1	25	1	4	3	118	579	55	15	93	Progress
5	1	25	1	4	4	176	579	34	12	96	With
5	1	25	1	4	5	214	579	40	12	87	China
5	1	25	1	4	6	257	584	14	7	87	as
5	1	25	1	4	7	274	579	56	12	95	Pressure
5	1	25	1	4	8	334	579	43	12	96	Grows
5	1	25	1	4	9	380	579	20	12	96	for
5	1	25	1	4	10	402	579	39	12	96	Trade
5	1	25	1	4	11	444	579	31	12	69	Deal
5	1	25	1	4	12	811	581	40	13	92	rights.
4	1	25	1	5	0	36	604	810	14	-1	
5	1	25	1	5	1	36	604	23	13	93	‘Top
5	1	25	1	5	2	63	604	69	10	96	Democrats
5	1	25	1	5	3	136	607	20	7	96	are
5	1	25	1	5	4	160	604	45	10	94	warning
5	1	25	1	5	5	205	604	51	13	94	loudly
5	1	25	1	5	6	259	604	25	10	96	that
5	1	25	1	5	7	288	604	20	10	90	the
5	1	25	1	5	8	312	604	50	10	96	Chinese
5	1	25	1	5	9	366	607	20	7	96	may
5	1	25	1	5	10	385	604	55	13	96	simply
5	1	25	1	5	11	443	604	15	10	96	be
5	1	25	1	5	12	462	604	47	13	96	dangling
5	1	25	1	5	13	509	604	41	13	95	false
5	1	25	1	5	14	811	608	10	8	67	Bh
5	1	25	1	5	15	828	610	18	8	67	ago
4	1	25	1	6	0	36	623	410	13	-1	
5	1	25	1	6	1	36	623	58	13	95	promises
5	1	25	1	6	2	98	623	12	10	96	in
5	1	25	1	6	3	114	623	30	13	96	hopes
5	1	25	1	6	4	145	623	22	10	96	of
5	1	25	1	6	5	170	623	45	13	96	getting
5	1	25	1	6	6	218	623	61	10	96	President
5	1	25	1	6	7	283	623	35	10	96	Trump
5	1	25	1	6	8	318	624	23	12	96	to
5	1	25	1	6	9	345	623	23	10	96	end
5	1	25	1	6	10	372	626	8	7	85	a
5	1	25	1	6	11	382	623	34	10	85	trade
5	1	25	1	6	12	419	626	27	7	95	war.
4	1	25	1	7	0	810	672	144	12	-1	
5	1	25	1	7	1	810	672	19	12	94	The
5	1	25	1	7	2	829	672	66	12	94	Catholic
5	1	25	1	7	3	898	672	56	12	47	Church's
4	1	25	1	8	0	37	691	897	12	-1	
5	1	25	1	8	1	37	691	58	7	96	PRESIDENT
5	1	25	1	8	2	98	691	37	7	93	TRUMP
5	1	25	1	8	3	811	691	69	12	89	‘Ravenous
5	1	25	1	8	4	883	691	51	12	68	Wolves’
4	1	25	1	9	0	37	711	741	19	-1	
5	1	25	1	9	1	37	711	23	15	92	It’s
5	1	25	1	9	2	65	711	76	15	88	Mueller’s
5	1	25	1	9	3	145	711	113	19	95	Investigation.
5	1	25	1	9	4	264	711	30	15	96	But
5	1	25	1	9	5	298	711	46	19	96	Right
5	1	25	1	9	6	424	711	81	15	96	Republicans
5	1	25	1	9	7	508	711	68	12	18	scrambled
5	1	25	1	9	8	579	714	13	9	95	to
5	1	25	1	9	9	596	711	29	12	96	hold
5	1	25	1	9	10	628	711	37	12	96	down
5	1	25	1	9	11	668	711	67	12	96	defections
5	1	25	1	9	12	738	711	40	22	96	ahead
4	1	25	1	10	0	37	730	859	19	-1	
5	1	25	1	10	1	37	734	60	15	95	Behind
5	1	25	1	10	2	102	734	36	15	96	Him
5	1	25	1	10	3	143	734	14	15	96	Is
5	1	25	1	10	4	161	734	68	15	96	Andrew
5	1	25	1	10	5	233	734	85	15	96	Goldstein.
5	1	25	1	10	6	423	730	14	12	83	of
5	1	25	1	10	7	439	735	9	7	76	a
5	1	25	1	10	8	450	733	29	9	76	vote
5	1	25	1	10	9	482	733	13	9	96	to
5	1	25	1	10	10	498	730	36	12	93	block
5	1	25	1	10	11	537	730	23	12	93	Mr.
5	1	25	1	10	12	564	730	52	15	58	Trump's
5	1	25	1	10	13	620	735	72	10	96	emergency
5	1	25	1	10	14	695	730	79	12	95	declaration.
5	1	25	1	10	15	811	736	25	11	22	ee
5	1	25	1	10	16	875	743	21	5	62	\llen
4	1	25	1	11	0	256	758	839	16	-1	
5	1	25	1	11	1	256	768	2	2	65	i
5	1	25	1	11	2	424	758	6	8	0	.
5	1	25	1	11	3	811	759	4	12	65	I
5	1	25	1	11	4	819	759	60	12	65	Survived
5	1	25	1	11	5	882	759	15	12	88	R.
5	1	25	1	11	6	901	759	35	15	96	Kelly,
5	1	25	1	11	7	1008	762	44	6	92	Douglas
5	1	25	1	11	8	1094	758	1	9	47	Jacot
4	1	25	1	12	0	28	768	910	13	-1	
5	1	25	1	12	1	28	771	3	3	69	+
5	1	25	1	12	2	37	768	43	10	85	Robert
5	1	25	1	12	3	84	768	10	10	85	S.
5	1	25	1	12	4	99	768	49	10	95	Mueller
5	1	25	1	12	5	152	768	16	10	87	III
5	1	25	1	12	6	172	768	22	10	96	has
5	1	25	1	12	7	198	771	7	7	88	a
5	1	25	1	12	8	209	769	65	12	88	reputation
5	1	25	1	12	9	278	771	14	7	96	as
5	1	25	1	12	10	296	768	20	10	93	the
5	1	25	1	12	11	320	768	19	10	91	all-
5	1	25	1	12	12	837	779	4	2	22	:
5	1	25	1	12	13	909	768	29	13	9	a
4	1	25	1	13	0	36	778	1129	25	-1	
5	1	25	1	13	1	36	787	55	13	80	knowing
5	1	25	1	13	2	94	787	78	13	93	investigator,
5	1	25	1	13	3	176	787	21	10	96	but
5	1	25	1	13	4	201	787	20	10	96	Mr.
5	1	25	1	13	5	225	787	61	10	96	Goldstein
5	1	25	1	13	6	290	787	15	10	96	has
5	1	25	1	13	7	306	790	17	7	92	a
5	1	25	1	13	8	326	787	44	13	90	day-to-
5	1	25	1	13	9	502	801	4	2	14	.
5	1	25	1	13	10	750	801	3	2	32	|
5	1	25	1	13	11	810	778	40	15	96	Again
5	1	25	1	13	12	853	778	25	12	95	and
5	1	25	1	13	13	881	778	40	15	95	Again
5	1	25	1	13	14	1007	779	41	12	86	When
5	1	25	1	13	15	1052	779	44	12	96	Health
5	1	25	1	13	16	1100	779	65	12	95	Insurance
4	1	25	1	14	0	37	798	1053	24	-1	
5	1	25	1	14	1	37	806	15	10	96	day
5	1	25	1	14	2	52	806	28	13	96	role
5	1	25	1	14	3	81	806	22	10	96	in
5	1	25	1	14	4	107	809	15	7	91	one
5	1	25	1	14	5	122	806	23	10	96	of
5	1	25	1	14	6	148	806	20	10	96	the
5	1	25	1	14	7	172	806	44	10	96	central
5	1	25	1	14	8	220	806	29	10	96	lines
5	1	25	1	14	9	253	806	12	10	96	of
5	1	25	1	14	10	268	806	48	13	95	inquiry.
5	1	25	1	14	11	424	800	25	12	50	Ina
5	1	25	1	14	12	452	803	71	12	50	sentencing
5	1	25	1	14	13	526	805	45	9	96	memo,
5	1	25	1	14	14	575	800	29	12	92	Paul
5	1	25	1	14	15	608	800	70	12	63	Manafort’s
5	1	25	1	14	16	682	800	50	22	96	lawyers
5	1	25	1	14	17	735	800	27	12	96	said
5	1	25	1	14	18	1007	798	28	12	82	Isn’t
5	1	25	1	14	19	1039	798	51	15	96	Enough
4	1	25	1	15	0	28	819	1022	33	-1	
5	1	25	1	15	1	28	834	3	3	55	+
5	1	25	1	15	2	36	831	25	10	96	The
5	1	25	1	15	3	64	831	44	10	96	former
5	1	25	1	15	4	112	831	32	10	96	Time
5	1	25	1	15	5	147	831	61	13	96	magazine
5	1	25	1	15	6	212	832	53	12	96	reporter
5	1	25	1	15	7	269	831	21	10	96	has
5	1	25	1	15	8	294	831	65	10	93	conducted
5	1	25	1	15	9	423	819	16	31	0	ze
5	1	25	1	15	10	443	819	24	12	53	hat]
5	1	25	1	15	11	469	819	52	24	80	already
5	1	25	1	15	12	523	819	55	12	64	suffered!
5	1	25	1	15	13	582	819	105	15	59	Simprenedented
5	1	25	1	15	14	690	819	42	15	32	pub:
5	1	25	1	15	15	819	828	13	4	77	David
5	1	25	1	15	16	854	827	2	8	92	E
5	1	25	1	15	17	948	820	22	32	31	&
5	1	25	1	15	18	1048	843	2	3	0	;
4	1	25	1	16	0	37	846	1063	17	-1	
5	1	25	1	16	1	37	853	36	10	96	every
5	1	25	1	16	2	76	850	31	13	96	major
5	1	25	1	16	3	108	850	70	10	96	interview
5	1	25	1	16	4	181	850	12	10	96	of
5	1	25	1	16	5	197	850	61	10	96	President
5	1	25	1	16	6	261	850	52	13	51	Trump's
5	1	25	1	16	7	317	850	57	10	96	advisers.
5	1	25	1	16	8	467	847	3	3	0	*
5	1	25	1	16	9	810	846	20	12	93	An
5	1	25	1	16	10	833	846	52	15	95	Agenda
5	1	25	1	16	11	888	846	20	12	95	for
5	1	25	1	16	12	1008	850	2	2	95	Cody
5	1	25	1	16	13	1036	852	2	2	93	J.
5	1	25	1	16	14	1064	848	36	7	64	McDav
4	1	25	1	17	0	38	865	1125	20	-1	
5	1	25	1	17	1	38	877	13	5	72	Feb.
5	1	25	1	17	2	63	877	13	8	72	25
5	1	25	1	17	3	811	865	69	12	87	Moderates
5	1	25	1	17	4	1007	866	46	15	96	Paying
5	1	25	1	17	5	1056	866	58	12	96	Students
5	1	25	1	17	6	1117	869	13	9	95	to
5	1	25	1	17	7	1134	866	29	15	95	Play
4	1	25	1	18	0	43	883	1096	17	-1	
5	1	25	1	18	1	43	883	31	2	38	—
5	1	25	1	18	2	1007	885	44	12	96	Would
5	1	25	1	18	3	1054	885	32	12	96	Ruin
5	1	25	1	18	4	1090	885	49	15	89	College
4	1	25	1	19	0	37	926	856	19	-1	
5	1	25	1	19	1	37	926	54	15	96	Indian
5	1	25	1	19	2	95	926	33	15	95	Jets
5	1	25	1	19	3	133	926	51	15	95	Strike
5	1	25	1	19	4	299	932	3	3	65	*
5	1	25	1	19	5	307	930	64	10	20	Pakistan's
5	1	25	1	19	6	375	930	51	13	96	military
5	1	25	1	19	7	429	930	26	10	96	said
5	1	25	1	19	8	459	930	47	10	96	aircraft
5	1	25	1	19	9	509	930	30	10	90	from
5	1	25	1	19	10	543	930	36	12	94	India,
5	1	25	1	19	11	583	930	38	10	94	which
5	1	25	1	19	12	624	930	46	10	96	blames
5	1	25	1	19	13	674	930	55	10	92	Pakistan
5	1	25	1	19	14	732	930	18	10	92	for
5	1	25	1	19	15	754	933	8	7	89	a
5	1	25	1	19	16	810	933	27	12	95	The
5	1	25	1	19	17	840	933	40	12	93	Times
5	1	25	1	19	18	884	933	9	12	48	E:
4	1	25	1	20	0	36	949	921	15	-1	
5	1	25	1	20	1	36	955	10	9	95	on
5	1	25	1	20	2	47	949	92	15	95	Pakistani
5	1	25	1	20	3	144	949	36	15	96	Side
5	1	25	1	20	4	307	952	35	7	91	recent
5	1	25	1	20	5	342	949	53	10	96	suicide
5	1	25	1	20	6	399	949	42	12	96	attack,
5	1	25	1	20	7	445	949	23	10	96	had
5	1	25	1	20	8	472	949	52	13	96	dropped
5	1	25	1	20	9	528	949	35	10	96	bombs
5	1	25	1	20	10	564	952	39	7	96	near
5	1	25	1	20	11	606	949	20	10	96	the
5	1	25	1	20	12	630	949	54	13	96	disputed
5	1	25	1	20	13	688	949	44	10	96	border.
5	1	25	1	20	14	810	952	61	12	0	Jemanina
5	1	25	1	20	15	874	952	60	12	0	Wellinsics
5	1	25	1	20	16	938	952	19	12	41	Fax’
4	1	25	1	21	0	36	971	881	16	-1	
5	1	25	1	21	1	36	972	18	15	96	of
5	1	25	1	21	2	57	972	72	15	96	Kashmir
5	1	25	1	21	3	134	972	38	15	96	Line
5	1	25	1	21	4	299	976	3	3	72	*
5	1	25	1	21	5	307	974	32	10	86	Itwas
5	1	25	1	21	6	339	974	58	10	96	unclear
5	1	25	1	21	7	401	974	31	10	92	what,
5	1	25	1	21	8	433	974	15	12	92	if
5	1	25	1	21	9	451	974	60	13	93	anything,
5	1	25	1	21	10	515	977	18	7	96	was
5	1	25	1	21	11	534	974	29	10	91	hit.
5	1	25	1	21	12	811	971	41	12	95	Public
5	1	25	1	21	13	855	971	62	12	95	Advocate
2	1	26	0	0	0	297	997	60	17	-1	
3	1	26	1	0	0	297	997	60	17	-1	
4	1	26	1	1	0	297	997	60	17	-1	
5	1	26	1	1	1	297	997	60	17	95	 
2	1	27	0	0	0	37	1030	742	1	-1	
3	1	27	1	0	0	37	1030	742	1	-1	
4	1	27	1	1	0	37	1030	742	1	-1	
5	1	27	1	1	1	37	1030	742	1	95	 
2	1	28	0	0	0	36	1042	255	131	-1	
3	1	28	1	0	0	36	1042	255	131	-1	
4	1	28	1	1	0	36	1042	119	7	-1	
5	1	28	1	1	1	36	1042	28	7	73	ABUSE
5	1	28	1	1	2	65	1042	19	7	89	IN
5	1	28	1	1	3	88	1042	20	7	91	THE
5	1	28	1	1	4	112	1042	43	7	91	CHURCH
4	1	28	1	2	0	36	1062	189	15	-1	
5	1	28	1	2	1	36	1062	45	15	96	After
5	1	28	1	2	2	85	1062	83	15	42	Cardinal's
5	1	28	1	2	3	172	1062	53	15	96	Secret
4	1	28	1	3	0	37	1085	186	18	-1	
5	1	28	1	3	1	37	1085	30	15	96	Sex
5	1	28	1	3	2	71	1085	53	15	96	Abuse
5	1	28	1	3	3	128	1085	95	18	95	Conviction,
4	1	28	1	4	0	36	1108	195	15	-1	
5	1	28	1	4	1	36	1114	10	9	82	a
5	1	28	1	4	2	51	1108	23	15	82	New
5	1	28	1	4	3	74	1108	57	15	95	Trial
5	1	28	1	4	4	136	1108	14	15	95	Is
5	1	28	1	4	5	154	1108	77	15	96	Canceled
4	1	28	1	5	0	37	1141	254	13	-1	
5	1	28	1	5	1	37	1141	53	10	96	Cardinal
5	1	28	1	5	2	94	1141	39	13	96	George
5	1	28	1	5	3	133	1141	35	10	96	Pell
